	s201	s202	s203	s204	s205	s206	s207	s208	s209	s210	E211	E212	E213	E214	E215	E216	E217	E218	E219	E220	E221	E222	E223	E224	E225	E226	E227	E228	E229	E230	E421	E422	E423	E424	E425	E426	E427	E428	E429	E430	N501	N502	N503	N504	N505	N506	N507	W211	W212	W213	W214	W215	W216	W217	W218	W219	W220	W221	W222	W223	W224	W225	W226	W227	W228	W229	W230	W421	W422	W423	W424	W425	W426	W427	W428	W429	W430
e1c7d97fe13e9127d225d76a1feb8c78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ca6c2b3b469c08212142e8821c65882a	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	11207	0	212	0	0	0	0	0	0	0	0	1294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0
12994e2c41e2d0461ace0d3eadc7872e	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	3	37	75	7	216	35	497	0	0	6	13	69	0	18	16	120	88	215	279	8	0	0	0	0	0	0	0	95	15	45	4433	21	0	3	0	8	113	42	1194	1340	3	0	177	0	0	7	15	100	0	28	21	0	63	44	20	22	12
e78d28b0c959b6e035caad98e3288205	1451	933	338	428	37	1073	123	432	124	757	6	7	0	6	91	0	16	0	10	58	4	0	0	0	60	0	15	4	0	0	35	116	47	119	0	21	32	8	0	0	0	0	0	0	0	0	0	439	81	79	101	245	10	50	57	139	185	114	122	86	22	28	54	0	17	0	0	257	0	271	40	17	215	84	240	117	37
483ea501739bd265b9b006c94db95856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d46e2205f0c6ecf67b51f83d111c509c	9	0	466	19	29	9	22	9	71	203	0	0	0	0	0	0	0	0	0	21	0	5	0	0	15	0	8	0	0	4	10	429	23	41	0	432	34	0	496	0	17	53	5	0	0	8	48	10	18	6	78	13	0	0	25	59	62	42	3210	39	0	32	30	0	11	0	0	7	0	9	0	0	0	0	23	9	0
650a72407e452f95505b0c8abf14d029	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	5422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	32
ddfd49f939f92958b1ec816741055348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	41	82	0	0	0	0	0	0	0	0	0	0	0	20	0	623	0	25	0	0	21	0	0	0	0	0	0	0	0	2186	72	0	0	0	0	89	1257	0	24	9	102	34	0	5	0	439	0	0	0	24	0	0	0	0	7	73	15	0	0
496ecde24f9ab698992413d3d4f04b5f	0	0	38	0	4	0	0	0	9	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	15	0	16	0	0	3626	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	7	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4608fae4bbc9964cdd17af8782f2155e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	0	0	0	0	0	34	0	54	0	91	14	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	36	0	3035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
